Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
3.725,9.57199304423619,24.3939730111878,1.00007028884208,-0.0961385194336655,0.00545008736140135,0.13166093168528,3
3.73,9.57937347526789,24.4070316955695,1.00347281789619,-0.0961112538862014,0.00545615125353276,0.13162566170043,3
3.735,9.58670964935388,24.420115294072,1.00347281789619,-0.0960840028037969,0.00544422112086918,0.131583564669649,3
3.74,9.5940460609381,24.4331987594027,1.00687351157089,-0.0960568122786966,0.00543192736481586,0.131541467638868,3
3.745,9.6013381690987,24.4463069689894,1.00687351157089,-0.0960296697156845,0.00542506111949115,0.131501555696906,3
3.75,9.60863050285016,24.4594150530772,1.01027201462761,-0.0960025620334632,0.00541797449106564,0.131461643754944,3
3.755,9.61587845940918,24.4725477270515,1.01027201462761,-0.0959754592933827,0.00542313927504873,0.131426434173272,3
3.76,9.62312661534907,24.4856802909849,1.01366844079995,-0.0959483304643384,0.00542841049119432,0.131391224591601,3
3.765,9.63033034161301,24.4988372787826,1.01366844079995,-0.0959212124334388,0.00541875343746685,0.131350346914703,3
3.77,9.63753429977964,24.5119941396061,1.01706303480516,-0.095894143412517,0.00540880571757595,0.131309469237805,3
3.775,9.6446937791548,24.5251752569742,1.01706303480516,-0.0958671074442263,0.00540556277054366,0.131271230181053,3
3.78,9.65185347585828,24.5383562562955,1.02045550172397,-0.09584008797251,0.00540220682385234,0.1312329911243,3
3.785,9.65896861942848,24.5515613587931,1.02045550172397,-0.0958130539325084,0.00541144644572771,0.131199543012684,3
3.79,9.66608395344159,24.5647663586749,1.02384597888331,-0.0957859731370725,0.00542090974200674,0.131166094901068,3
3.795,9.67315468260602,24.5779952962391,1.02384597888331,-0.0957588824848707,0.00541532183248649,0.131126887415838,3
3.8,9.68022563540519,24.5912241142704,1.02723471559876,-0.0957318202107961,0.00540955803773888,0.131087679930608,3
3.805,9.68725193516877,24.6044767031355,1.02723471559876,-0.0957047696940555,0.00541064977423845,0.131051123882258,3
3.81,9.69427844381357,24.6177291812532,1.03062141220999,-0.0956777137021079,0.0054117482069459,0.131014567833908,3
3.815,9.70126022607933,24.6310052769289,1.03062141220999,-0.095650621521134,0.0054251803965065,0.130982658133141,3
3.82,9.70824219099829,24.6442812765473,1.0340062067037,-0.0956234613384826,0.00543894996115119,0.130950748432374,3
3.825,9.71517937950961,24.6575807282485,1.0340062067037,-0.0955962707349381,0.00543727953390151,0.130912889185087,3
3.83,9.72211678510803,24.6708800667117,1.03738934086108,-0.095569088662077,0.00543553755083209,0.1308750299378,3
3.835,9.72900936857633,24.6842026900693,1.03738934086108,-0.0955419004578048,0.00543975884935012,0.130839445762729,3
3.84,9.73590215643913,24.6975252076795,1.04077050513527,-0.0955146909274581,0.00544406831963351,0.130803861587657,3
3.845,9.74275005143358,24.7108708561891,1.04077050513527,-0.0954874305198816,0.00546016219453871,0.130772685405503,3
3.85,9.74959812581053,24.7242164126527,1.04414981792401,-0.0954600886336465,0.00547666108093558,0.130741509223349,3
3.855,9.75640125974169,24.7375849342131,1.04414981792401,-0.0954327037541063,0.00547728828629415,0.130704194793982,3
3.86,9.76320460873892,24.7509533463258,1.04752750859754,-0.095405315775403,0.00547790079434243,0.130666880364615,3
3.865,9.76996297395559,24.7643445561141,1.04752750859754,-0.0953779107537934,0.00548413058964338,0.130631688737745,3
