Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
15.28,6.18131386748463,34.3563978029047,2.64601523098576,-0.0827428345182906,1.32613362240325,0.908502182907863,1.95268177633545,6.35632219279132,34.3246919719178,2.98688886097383,1.30632412766902,1.55935112595971,0.908536177233054,2,-1.18869846575424
15.29,6.16045540401043,34.3588744563092,2.66160815878934,-0.0684046801722787,1.3282956732458,0.896354476450559,1.95310414825131,6.35632219279132,34.3246919719178,2.70769024167414,1.30722843071081,1.53850646099128,0.896391297282133,2,-1.21448799509207
15.3,6.1519348483177,34.3592597582716,2.66026895924618,-0.0540222824802229,1.33126791253259,0.883943581026364,1.95094518586597,6.15910635490949,34.3573706463821,2.42822149550897,1.30899495435984,1.51721065915198,0.8839835681491,2,-1.24077291330326
15.31,6.13115546275747,34.3616162832002,2.67544037952529,-0.0395317423360074,1.3350591551178,0.871251707909367,1.95138305893522,6.15910635490949,34.3573706463821,2.14830205738973,1.31159578454792,1.4954308085904,0.871293814160729,2,-1.26897539883708
15.32,6.11038740731466,34.3637558601426,2.69039396492748,-0.0249972916083411,1.3396635036604,0.858276796766337,1.95181702346199,6.15910635490949,34.3573706463821,1.86774861456369,1.31507368315346,1.47316685042676,0.858322001011448,2,-1.29718131492815
15.33,6.08963397769783,34.3656860267673,2.70512485757612,-0.0103829343831813,1.34510789577786,0.845011161451727,1.95224711433472,6.15910635490949,34.3573706463821,1.58637257458636,1.31944025528517,1.45040329169951,0.845059101923502,2,-1.32628990879462
15.34,6.06889824890635,34.3674145225571,2.71962806767471,0.0043470012866013,1.35140481494371,0.831440785887555,1.95267336613041,6.15910635490949,34.3573706463821,1.30398493498159,1.3246907395356,1.42711544117067,0.831490730859911,2,-1.35683710635907
15.35,6.04818309613506,34.3689493348674,2.7338983648641,0.0191709201455679,1.35855893996604,0.817558452429552,1.95309581311744,6.15910635490949,34.3573706463821,1.02039413202196,1.33084920274141,1.40329261193502,0.817610661230749,2,-1.3880069629162
15.36,6.027491168462,34.3702986461529,2.74793039490627,0.034110857592315,1.36658928461266,0.803354354241021,1.95351448925827,6.15910635490949,34.3573706463821,0.735405016917788,1.33792737071836,1.37891703421475,0.803408539700107,2,-1.42021215306421
15.37,6.00682489732799,34.3714708509732,2.76171863524521,0.0491804646917877,1.37550977960242,0.788817552756175,1.95392942821225,6.15910635490949,34.3573706463821,0.448820000321286,1.34593662158811,1.35396994438165,0.78887343387774,2,-1.45351058223665
15.38,5.98618649961568,34.3724745630657,2.77525737558258,0.0644102134954229,1.38533149233253,0.773932582997195,1.95434066333824,6.15910635490949,34.3573706463821,0.160440743593699,1.35487528533396,1.32842427796848,0.773989574994704,2,-1.48838588830363
15.39,5.9655779910858,34.3733186501272,2.78854064018949,0.0797776854473089,1.39605981523661,0.758691012056467,1.95474822769736,6.15910635490949,34.3573706463821,-0.129934055474725,1.36476803790183,1.30226714718228,0.758749454141705,2,-1.52401208529992
15.4,5.95425031786332,34.3734875746766,2.7903798872421,0.0953051567571001,1.40771521636325,0.743081802760244,1.95321570745801,5.95972901985395,34.3726345655352,-0.422509542559372,1.37562839574137,1.27547859674375,0.743141444628096,2,-1.56080095136095
15.41,5.93373239271486,34.3742628543042,2.80313364955614,0.111035691352505,1.42031098059311,0.72708645297246,1.95363331339802,5.95972901985395,34.3726345655352,-0.717491230425433,1.38745043352323,1.24802591925545,0.727146489903144,2,-1.59949547249517
15.42,5.91324755871549,34.374906330859,2.81561287831471,0.126929940146277,1.43384978273596,0.710697257926239,1.95404719170399,5.95972901985395,34.3726345655352,-1.01508808807133,1.40026514556188,1.21989832354265,0.710758302625607,2,-1.63881872775366
15.43,5.89279708503242,34.3754277348933,2.82781081381948,0.143035504221501,1.44835559957333,0.693898556854336,1.95445737564953,5.95972901985395,34.3726345655352,-1.31551207689251,1.41407543451968,1.19106678392982,0.693959971353387,2,-1.67983312722202
15.44,5.8723820473203,34.3758370534931,2.83972042758112,0.159334928911131,1.46383791847115,0.676680384516527,1.95486389821124,5.95972901985395,34.3726345655352,-1.61897858731857,1.42890599242863,1.16151571145154,0.676742413373281,2,-1.72175579801059
15.45,5.85200331546357,34.3761444855792,2.85133452007356,0.175852343863728,1.48031899832012,0.659029949551618,1.95526679207137,5.95972901985395,34.3726345655352,-1.92570691926726,1.44477099482817,1.13122223060039,0.659092300560718,2,-1.76501128125629
15.46,5.83166156570547,34.3763604640659,2.86264567222827,0.192602997196203,1.4978153131772,0.640933253165043,1.95566608962043,5.95972901985395,34.3726345655352,-2.23591927215183,1.4616836782627,1.10016235151937,0.640995655529456,2,-1.80966450312619
15.47,5.81135728859367,34.3764956663813,2.87364622471075,0.209618836944901,1.51634088492651,0.622371727744405,1.95606182295981,5.95972901985395,34.3726345655352,-2.54983919008582,1.4796460759286,1.06830369492549,0.622433612900492,2,-1.85620426289641
15.48,5.79109080496372,34.3765610533901,2.8843281995043,0.22687892536837,1.53590195316435,0.603333771579381,1.95645402390436,5.95972901985395,34.3726345655352,-2.86769331265514,1.4986804256462,1.03562795117998,0.603395504794776,2,-1.90381081057157
15.49,5.77086225598508,34.3765678156157,2.89468341946821,0.244406890217887,1.55651901056373,0.58380514723769,1.95684272398494,5.95972901985395,34.3726345655352,-3.18971173554911,1.51879905578518,1.00210968705068,0.583866512861817,2,-1.95289919329598
15.5,5.7564395934189,34.3782308746763,2.89205163876539,0.262218200514007,1.57820675178995,0.563770418851863,1.95609601662421,5.75982546374561,34.378653813875,-3.51612700135958,1.54001279721451,0.967722399333771,0.563831195345687,2,-2.00353175161298
15.51,5.73629830850513,34.3784071545566,2.90172781963137,0.2803587375883,1.60097697614948,0.543206629935955,1.95648791234927,5.75982546374561,34.378653813875,-3.84717155938074,1.56231443033634,0.932425715937701,0.543266029958748,2,-2.05651653869391
15.52,5.71619407677278,34.3785596545629,2.91105105728822,0.298802569625954,1.62482667710824,0.522098965498589,1.95687630993482,5.75982546374561,34.378653813875,-4.18307922103897,1.58571828183881,0.896196313347843,0.522157427550698,2,-2.11086024080493
15.53,5.69612660891281,34.3787006784689,2.92001201701788,0.317547902891346,1.6497692555141,0.500435670146636,1.95726124060595,5.75982546374561,34.378653813875,-4.52408722760194,1.61024103759163,0.859013831218152,0.500493525423874,2,-2.16639021268249
15.54,5.67609549086112,34.3788427775229,2.92860116234053,0.336623331136496,1.67582254695175,0.478200935704828,1.95764273530901,5.75982546374561,34.378653813875,-4.87043493059017,1.6358882129455,0.820850086041203,0.478257902814744,2,-2.22356226091298
15.55,5.65610020659765,34.3789987862261,2.93680868545532,0.356045615732628,1.70299523225802,0.455377594029367,1.95802082471415,5.75982546374561,34.378653813875,-5.22236249398026,1.66266220066601,0.781675719365655,0.455433454393595,2,-2.28244484211492
15.56,5.63614015642124,34.3791818376632,2.9446244838988,0.375847313868323,1.73129191950811,0.431943966927661,1.95839553921775,5.75982546374561,34.378653813875,-5.58010905642074,1.69055366585723,0.741453071472655,0.431998238202368,2,-2.34352161912263
15.57,5.61621468175945,34.3794054059748,2.95203808313743,0.396007694177116,1.76070608310605,0.407885426908677,1.95876690894484,5.75982546374561,34.378653813875,-5.94391373157248,1.71956701472457,0.70015868813053,0.407938588930136,2,-2.40596492722319
15.58,5.59632307190537,34.3796832541461,2.95903875758112,0.41655018603894,1.79124289902526,0.383184839910998,1.95913496375156,5.75982546374561,34.378653813875,-6.31401514051863,1.74969540813049,0.657762204320852,0.383236814783623,2,-2.47017741465132
15.59,5.57646458970331,34.3800294592389,2.96561548756215,0.437489683207364,1.82289892273225,0.357824030166007,1.95949973322757,5.75982546374561,34.378653813875,-6.69064990912732,1.7809272247784,0.614232451229481,0.357874755648165,2,-2.53620591354578
15.6,5.55875859131314,34.3837414506195,2.95686505972755,0.458857506936904,1.85566555312704,0.331780443753074,1.95952962961579,5.55993473033703,34.3850118384849,-7.07405048850479,1.8132376069156,0.569530223760391,0.331829569171275,2,-2.60451864768908
15.61,5.5389774728799,34.3845620540945,2.96255951880911,0.480669471086874,1.8895211676749,0.30503049416444,1.95989087622546,5.55993473033703,34.3850118384849,-7.46444333281265,1.84659557536842,0.523615451450103,0.305077908805082,2,-2.67516603661929
15.62,5.51922903273604,34.3854949089799,2.96779485953023,0.50288009139056,1.92443642100827,0.277562913712916,1.96024889827573,5.55993473033703,34.3850118384849,-7.86205096004298,1.88098781304715,0.476470964954949,0.277609771049025,2,-2.74681377560563
15.63,5.49951292095345,34.3865554758444,2.9725587649516,0.525524342285209,1.96040050080122,0.249361022754612,1.96060372454968,5.55993473033703,34.3850118384849,-8.26709027091665,1.91637940874974,0.428066131502089,0.249407308106115,2,-2.82024629429103
15.64,5.479828904557,34.3877595544999,2.9768386318556,0.548636692374766,1.99738450337204,0.220402319006772,1.96095538357343,5.55993473033703,34.3850118384849,-8.67976856962387,1.95271825547947,0.378361804088347,0.220447711470925,2,-2.89595966351896
15.65,5.46017691142407,34.3891233378775,2.98062147081039,0.572193652756544,2.035340054141,0.190671510273234,1.96130390361849,5.55993473033703,34.3850118384849,-9.10028306388087,1.9899572522061,0.327333551510352,0.190716746612347,2,-2.97309648585789
15.66,5.4405570584035,34.3906633581851,2.98389402991902,0.596213999134622,2.07422383973263,0.160151279373441,1.96164931270402,5.55993473033703,34.3850118384849,-9.52881881144504,2.02803182152206,0.274950832759638,0.160196619198735,2,-3.05201274136113
15.67,5.4209696958312,34.3923965077671,2.98664276006399,0.620706727252268,2.11397694898621,0.128823848829004,1.96199163859905,5.55993473033703,34.3850118384849,-9.96554569448104,2.06686455476106,0.221183272336657,0.128869631330126,2,-3.13269878686098
15.68,5.40141545280721,34.3943400470214,2.98885380700692,0.6456960726689,2.15452779886992,0.0966677249788491,1.96233090882477,5.55993473033703,34.3850118384849,-10.410614484935,2.10635637221638,0.165993584867536,0.0967140591558199,2,-3.21555721743056
